Czy wykonywal zadanie;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level
0;551631;241358;6232;17677;23740;11172;4529;3449;44;3
0;2005146;968934;154070;65097;70574;87923;33870;7826;50;3
0;269846;50066;18029;9693;48652;7975;4759;2002;47;4
0;2201517;401684;243952;98207;46141;76827;17786;5479;47;4
0;1059780;65820;146052;44296;10530;20447;7518;2725;47;4
0;1532249;41033;7433;11167;7050;4726;2084;1522;47;4
0;542897;42336;9152;1805;18341;9719;4755;1691;50;1
0;2182606;41848;15400;9048;15074;5049;4079;1552;57;21
0;67069;105541;4844;3228;2976;4382;1563;1260;51;10
0;708165;40331;17356;33986;38790;59225;2462;2861;51;10
0;143631;27949;17857;18031;13712;19871;3585;825;64;20
0;273048;10566;1650;6577;6336;4961;9575;4081;64;20
0;1920443;678077;322187;50193;183441;102048;49311;8584;54;30
0;1574390;68216;45110;59084;56055;13651;7695;5175;57;40
0;276828;44939;49545;14730;4024;7577;3103;1328;64;75
0;300583;66586;64400;14133;39016;5992;3932;3946;64;75
0;1126112;462857;61225;35989;57853;54546;23661;3815;50;60
0;22162;152082;4665;10498;6136;9571;3447;4043;43;41
0;896651;190915;29307;30032;66323;49226;15934;11832;54;24
0;740497;192608;10484;58537;48732;35234;7544;3361;64;4
0;1954767;296013;48659;37044;11312;10245;4554;3360;48;11
0;433685;11105;10921;5740;7659;11392;7998;3997;48;11
0;890529;176862;34867;17604;13515;4656;5523;846;48;11
0;220437;29650;6119;6984;3048;3026;2146;715;50;27
0;731418;359478;38854;70795;9621;25566;6181;3840;50;27
0;244700;5350;5065;10193;5287;2347;1442;831;43;51
0;1665642;31959;21833;3061;3555;5894;1136;717;40;63
0;927183;99576;23311;11931;15016;16165;939;1207;60;63
0;832832;208748;164299;61463;33320;27496;9558;4982;57;74
0;96499;71258;5525;2827;4368;3035;3200;3933;43;43
0;493243;51427;6262;13821;43252;12185;6170;1241;43;43
0;1089372;98386;69551;97568;117435;144848;22032;9872;43;43
0;1669361;150822;17855;46798;71467;89147;10760;2631;43;43
0;1213355;35311;23889;15957;7853;16660;3907;2694;43;43
0;1159662;81773;30750;51193;17342;9782;7664;14596;43;43
0;1024338;700993;138174;169744;53501;68271;37473;46190;43;43
0;279063;26785;2727;4645;1447;1424;357;248;43;43
0;647495;14066;4615;14051;11877;10298;2124;606;57;41
0;1377151;234004;10808;79477;66100;125358;21684;4525;57;41
0;1102998;206462;29798;22103;34118;16365;4200;3314;57;41
